A very clean and well decorated empty bathroom,[sep],A very clean and well decorated empty livingroom.
A group of skiers stand atop a snowy peak.,[sep],
A girl trusts another girl to shave her while sitting back to back.,[sep],
A bicycle leaning against a building near a window.,[sep],
A bathroom with a white toilet and a white bath,[sep],A bathroom with a blue toilet and a black bath.
A group of bikers round a turn on a road.,[sep],
A small hot pink bathroom with a few touches of royal blue on the toilet is shown.,[sep],A small hot blue bathroom with a few touches of royal pink on the toilet is shown.
A small bathroom has a small sink and window,[sep],
Earth toned towels hang on a rod in a stark bathroom.,[sep],
Three sinks in a bathroom of an old building.,[sep],Three buildings in a bathroom of an old sink.
A woman and a man riding motor bikes next to a red compact car.,[sep],A woman and a man driving an red compact car next to a motor bikes.
a man flying backwards about to land on his bed,[sep],
The door opens on a small dimly lit bathroom.,[sep],The door close on a small dimly lit bathroom.
A sink with a mirror above it in a green painted room.,[sep],
A motorcycle parked next to a walkway in front of a building.,[sep],A motorcycle parked far away from a walkway in front of a building.
A woman riding a bike with a basket while talking on a cell phone.,[sep],
Two men riding bicycles on a busy city street.,[sep],Two men riding bicycles on a empty rural road.
Two cats laying down underneath a car together.,[sep],Two cats laying down on top of a car together.
A black and white photo of an outdated kitchen.,[sep],
Three men preparing food in a professional metallic kitchen.,[sep],
A mass transit bus with a bike mounted on the front.,[sep],
A modern contemporary kitchen is fashioned with stainless appliances and lighting fixtures.,[sep],
"A kitchen with a stainless steel stove, microwave and refrigerator.",[sep],
A white door in a kitchen with teal walls.,[sep],
A bathroom with a standing shower and tiled floors and walls and a sink.,[sep],
Cat sitting on the hood of a car on a winter day,[sep],Cat sitting on the hood of a car on a summer day.
An orange and white cat sits beneath a red car with a flat tire.,[sep],
A leopard printed station wagon with toys attached to the roof is parked beside the  street.,[sep],A bathroom with a wood sink and white furnishings.
A woman standing in a kitchen wearing yellow gloves,[sep],A boy standing in a kitchen wearing yellow gloves.
A bathroom with a white sink and wood furnishings.,[sep],
"A bathroom with white sink, toilet, mirror, vanity, tiled floors, and shower stall.",[sep],
"View of kitchen, stainless steel stove and refrigerator.",[sep],
a bathroom with a sink and two mirrors,[sep],a bathroom with a mirror and two sinks.
The is sitting in front of a pizza.,[sep],
A kid sitting at a table with a massive pizza outside.,[sep],A kid standing on a table with a massive pizza outside.
A small bathroom with a chalk board and stainless steel trash can.,[sep],
The inside of a bathroom decorated in blue.,[sep],The outside of a bathroom decorated in blue.
"Street image of bicycles, probably somewhere in Europe.",[sep],
Bathroom with double vanity sinks and bathtub with skylight.,[sep],
A kitchen is filled with green cabinetry with chairs at the counter.,[sep],
Two lacrosse players and their nets on a green field.,[sep],
person taking selfie of themselves in a public bathroom,[sep],
A cork table in a large wood kitchen.,[sep],
Two young men having a conversation in a kitchen area.,[sep],
A girl throws a Frisbee on the beach.,[sep],
A baby sitting in a chair combing a lady's hair,[sep],
a bathroom is being renovated and redone,[sep],
A man takes a picture in the mirror,[sep],
A woman is looking inside of a shop window.,[sep],
A tan dog sitting in  a shower getting a bath,[sep],
Several men in the kitchen with one cutting a piece of meat.,[sep],
A close-up of a cutting board with cut vegetables and a bowl of noodles.,[sep],
A bathroom sink has toilet paper and a hair dryer on it.,[sep],
Several bicycles parked near some trees on a sidewalk.,[sep],
The large colorful airplane kite is being flown at the park.,[sep],
Two horses standing in a field and a man standing next to them.,[sep],
a little girl watching a woman make cupcakes in the kitchen,[sep],
An Asian street scene with a person on a bike.,[sep],
A woman driving in a car holding a banana.,[sep],A woman driving in a banana holding a car.
This bathroom has gray tiles all over the walls,[sep],
A man stands behind the counter of a restaurant.,[sep],A man sitting behind the counter of a restaurant.
A cook has a pan of food going into a bowl.,[sep],
Two men in the kitchen preparing food for customers,[sep],Two customers in the kitchen preparing food for men.
A sink and a toilet in front of a shower curtain.,[sep],
A  woman in a clack sweater with a pink bike,[sep],
A group of people prepare food in a kitchen.,[sep],
Lights in the bathroom show a toilet and decorative towels.,[sep],
A small compact bathroom with shower and toilet.,[sep],
An airborne skateboarder looks down at his feet.,[sep],
A man rides a bicycle shaped like a snail.,[sep],
A new kitchen counter in the process of being installed,[sep],
A wooden table filled with office supplies and cooking utensils.,[sep],
A tidy and clean home bathroom still being finished,[sep],
Someone riding a rail with a skateboard down the side of steps.,[sep],
Several large pizzas on pans resting on a stove top.,[sep],
Man blowing out the candles of cake with beer in background.,[sep],
a close up of a bath room sink wit ha brush,[sep],
We are looking at a blurry photo of a kitchen stove.,[sep],
Three huge pizzas being cooked in the kitchen.,[sep],
A couple of little girls standing next to each other.,[sep],
"A bathroom with a toilet, standup shower and a sink.",[sep],
Cars are sitting at a traffic light at a busy intersection.,[sep],
A group of men riding bikes down a city street.,[sep],
A panorama photograph of a bathroom with a toilet.,[sep],
A hodge podge of colors and patterns decorate a bathroom.,[sep],
Two people sitting on top of a bench on a lush green hillside.,[sep],
A bathroom filled with a mirror above a sink.,[sep],
"People on a busy sidewalk, some on bicycles.",[sep],
A man standing in a kitchen doorway next to a counter.,[sep],
A white toilet and white pedestal sink sit in the bathroom with newly laid tile.,[sep],
A toilet at the end of a bathroom,[sep],
Two people are standing outside a building in a village.,[sep],
A spot outside for parking bicycles for free.,[sep],
"Two people in a kitchen, one at the sink and one at the counter next to her.",[sep],
Cooking utensils hanging on kitchen hooks under a cabinet.,[sep],
A bicycle is parked near many parked motorcycles.,[sep],
"Many people gathered in a dining hall, many with laptops",[sep],
"A small three-piece bathroom with sink, toilet, and bathtub/shower.",[sep],
A kitchen with a center island with two computers on it,[sep],
A bathroom scene with focus on the sink and mirror.,[sep],
A girl and her mom are petting a cow,[sep],
A young skateboarder performs a maneuver in the air.,[sep],
A duck is standing on the hood of a car.,[sep],
A bathroom with a toilet and a shower.,[sep],
a woman with a wrench inside of her kitchen,[sep],
A view of a clean bathroom with a door open to a hallway.,[sep],
Three women cooking food outdoors using wood fires.,[sep],
A bathroom has granite- textured tiles and white appliances.,[sep],
A pie sitting on top of a stove top oven.,[sep],
A wide view of the patrons of a large library.,[sep],
There is a lap top on a counter with different items,[sep],
Sepia photograph of a kitchen in need of renovation,[sep],
Two men in traditional Indian clothing riding on elephants.,[sep],
"A male is preparing a meal, which includes frozen fish sticks",[sep],
A woman siting on a bicycle talking to a man.,[sep],
A skier and two snowboarders walk in the snow.,[sep],
A woman sitting in a tub in a white bathroom,[sep],
Smiling child with a tooth brush in hand.,[sep],
A spoon is resting in a bowl of cooked noodles and vegetables.,[sep],
A man standing over a cake with candles.,[sep],
a cat on top of a bike parked indoors,[sep],a cat underneath a bike parked indoors
A bunch of bicycles in front of a building,[sep],
A dog sitting on the floor near two wooden chairs sitting at a wooden desk.,[sep],
A bathroom has a white brick wall and a two drawer cabinet and a toilet.,[sep],
A kitchen filled with lots of clutter and appliances.,[sep],
"A bathroom with a sink, toilet, mirror and towel racks.",[sep],
A kitchen with lots of cupboard and counter space.,[sep],
The woman are doing performance art for the city to see.,[sep],
"A refrigerator, counter and stove in a kitchen.",[sep],
A couple are looking into an open refrigerator.,[sep],
Two people that are talking on the phone together.,[sep],
A bathroom in pastel blues and a brown polka dotted towels,[sep],
there is a bus with lots of writing on it on this street,[sep],
A corner of a rest room with tiled walls and a big mirror.,[sep],
A person's bike sitting at a train station.,[sep],
"A man and woman sitting next to each other at a restaurant, holding glasses of wine.",[sep],
Two women cooking on a single stove top.,[sep],
A person is leading two horses while on a bicycle,[sep],
